,Unnamed: 0,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,IN_TREINEIRO,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006,Q027,Mean_notes
309972,2632237,Araçoiaba da Serra,17.0,F,3,3,0,1,1,,578.4,568.3,508.6,582.5,620.0,2342,D,571.56
493625,4249790,Itatiba,17.0,F,3,2,0,2,0,2.0,477.4,555.3,522.4,480.8,460.0,1405,A,499.17999999999995
418629,3504150,Mauá,21.0,F,3,1,3,1,0,,416.2,469.3,557.4,445.4,560.0,1405,A,489.66
121987,992227,São Paulo,18.0,F,1,2,0,3,0,4.0,539.4,512.7,521.8,472.4,480.0,3748,D,505.25999999999993
629853,5782376,Votorantim,26.0,F,1,1,4,1,0,,553.8,491.6,550.9,454.3,480.0,1874,A,506.12000000000006
561741,4971891,Bragança Paulista,18.0,F,3,2,0,3,0,4.0,579.9,589.6,565.7,662.6,720.0,6599,E,623.5600000000001
641464,5934344,São Paulo,37.0,F,2,1,11,1,0,,443.6,424.8,543.3,388.5,560.0,1405,A,472.03999999999996
219670,1825605,Vinhedo,20.0,F,1,1,3,1,0,,474.0,463.9,429.1,603.6,560.0,1405,A,506.12
481493,4123038,Sorocaba,17.0,F,1,2,0,2,0,2.0,544.8,599.4,586.8,647.4,760.0,7496,A,627.68
508153,4399659,Cosmópolis,43.0,M,2,1,11,1,0,,479.3,470.9,402.0,426.9,500.0,1405,A,455.82
404842,3396061,São Paulo,16.0,F,1,3,0,1,1,,532.0,590.3,570.2,396.9,640.0,20000,D,545.88
688533,6626020,São Paulo,17.0,F,3,2,0,2,0,2.0,475.1,532.1,502.4,472.7,500.0,1405,A,496.46000000000004
468297,3980519,São Paulo,19.0,F,1,1,2,1,0,,541.2,538.1,584.1,440.8,540.0,937,A,528.84
531249,4603295,Praia Grande,19.0,M,3,1,1,1,0,,470.9,591.2,429.9,680.8,600.0,937,A,554.5600000000001
540061,4721722,Campinas,18.0,M,3,2,0,3,0,4.0,762.7,675.6,579.5,717.3,580.0,18740,A,663.0200000000001
444739,3777025,Catanduva,16.0,F,3,3,0,1,1,,404.7,418.0,549.9,483.4,620.0,1874,A,495.2
81895,630716,São Caetano do Sul,17.0,F,1,2,0,2,0,3.0,507.2,470.1,581.2,494.8,720.0,1405,A,554.6600000000001
287101,2422289,Sumaré,18.0,F,1,1,1,1,0,,492.7,564.2,574.6,628.5,680.0,4685,A,588.0
334437,2834023,Indaiatuba,18.0,M,3,2,0,2,0,2.0,429.6,508.7,568.1,615.6,840.0,3748,A,592.4
123347,1003422,Cotia,17.0,F,1,2,0,2,0,2.0,547.2,607.2,565.1,536.2,460.0,2342,A,543.14
559613,4946422,Itaquaquecetuba,21.0,F,2,1,4,1,0,,530.1,611.3,609.7,442.7,640.0,2811,A,566.76
486268,4176766,Mirante do Paranapanema,16.0,F,3,3,0,1,1,,460.8,381.8,395.7,449.3,440.0,937,A,425.52
114303,925431,Carapicuíba,17.0,M,1,2,0,2,0,2.0,398.8,469.8,555.2,549.1,520.0,1405,A,498.58000000000004
494213,4256003,Osasco,21.0,F,1,1,4,1,0,,396.4,427.8,611.4,471.9,560.0,1405,A,493.5
281958,2365943,São Carlos,37.0,M,1,1,11,1,0,,566.0,570.1,527.8,637.5,560.0,2811,A,572.28
14270,121639,São Bernardo do Campo,19.0,F,1,1,2,1,0,,598.8,639.0,584.4,650.6,760.0,7496,D,646.56
122236,994372,São Paulo,17.0,F,1,2,0,2,0,2.0,547.7,523.2,523.8,513.6,620.0,3748,B,545.6600000000001
77918,601210,Ituverava,16.0,M,2,3,0,1,1,,467.1,587.9,534.2,510.2,720.0,11244,D,563.88
672965,6378272,Itapira,19.0,M,1,1,1,1,0,,508.5,489.2,481.6,510.7,440.0,2811,A,486.0
401169,3365794,São José dos Campos,18.0,F,1,2,0,2,0,2.0,413.9,601.1,566.8,503.6,500.0,2811,A,517.08
604952,5426439,Diadema,24.0,F,3,1,7,1,0,,561.0,521.1,592.7,377.6,480.0,0,A,506.48
255970,2151890,Iperó,18.0,M,1,2,0,3,0,4.0,416.4,545.4,528.8,442.7,620.0,2811,D,510.66
13394,113702,São Paulo,17.0,F,3,2,0,3,0,4.0,513.9,492.8,465.3,525.4,520.0,1874,E,503.48
205177,1711373,Franca,16.0,F,1,3,0,1,1,,559.4,489.3,483.7,462.0,560.0,937,B,510.88
166211,1348989,Itapecerica da Serra,17.0,F,3,2,0,2,0,2.0,519.5,560.3,539.5,465.6,480.0,1405,A,512.98
293307,2479386,São Paulo,17.0,F,2,2,0,2,0,2.0,503.8,533.6,566.0,534.4,660.0,3748,A,559.5600000000001
381868,3203519,Jales,22.0,F,1,1,4,1,0,,620.8,655.0,640.0,603.3,880.0,3748,A,679.8199999999999
13623,115841,São Roque,19.0,F,1,1,1,1,0,,583.1,596.6,601.4,684.3,640.0,3748,B,621.0799999999999
261225,2194812,Birigui,17.0,M,3,2,0,2,0,2.0,494.1,510.0,514.9,467.5,620.0,2811,A,521.3
588551,5260116,Guarujá,23.0,F,3,2,0,2,0,2.0,454.4,517.4,482.4,454.8,500.0,0,A,481.8
445281,3782202,Mauá,17.0,M,1,2,0,2,0,2.0,634.4,613.7,578.7,657.8,680.0,937,A,632.92
625747,5731678,Santo André,16.0,M,1,3,0,1,1,,569.3,592.1,535.3,657.9,540.0,2811,E,578.92
328991,2791489,Alumínio,22.0,F,3,1,5,1,0,,582.3,604.5,555.8,673.1,520.0,1405,A,587.14
382860,3212080,Mogi das Cruzes,17.0,F,1,3,0,1,1,,393.2,526.9,524.6,639.9,600.0,1874,B,536.92
188865,1566933,Sorocaba,20.0,F,1,1,3,1,0,,705.9,658.9,586.6,907.6,840.0,3748,D,739.8
58165,455547,Monte Alto,21.0,F,1,1,3,1,0,,442.2,457.5,518.3,453.5,640.0,1874,A,502.3
31654,256525,Cubatão,18.0,F,3,2,0,3,0,4.0,553.3,432.4,537.9,565.5,520.0,1405,B,521.8199999999999
5981,50050,São Paulo,18.0,F,3,3,0,1,0,,418.2,610.9,484.7,391.7,540.0,6599,B,489.1
178770,1461697,São Paulo,18.0,F,3,2,0,2,0,2.0,486.3,475.7,546.9,426.7,560.0,1405,A,499.12000000000006
397956,3340000,Caieiras,16.0,F,3,3,0,1,1,,505.8,403.9,511.6,542.8,460.0,8433,D,484.82000000000005
119433,971363,Jacareí,18.0,M,3,2,0,3,0,4.0,543.7,595.0,580.6,596.6,640.0,1405,E,591.1800000000001
633908,5832616,Ribeirão Preto,47.0,F,3,1,11,1,0,,489.0,545.2,568.3,463.9,700.0,3748,B,553.28
671593,6356858,Ribeirão Pires,16.0,F,1,3,0,1,1,,561.8,533.0,550.6,473.7,540.0,14055,A,531.8199999999999
33814,273467,São Paulo,18.0,F,1,2,0,3,0,4.0,515.2,539.9,518.7,502.2,640.0,9370,D,543.2
350923,2953556,Penápolis,18.0,M,3,2,0,2,0,2.0,517.9,535.9,526.5,481.0,480.0,1405,A,508.26000000000005
458257,3896560,Santa Bárbara d'Oeste,16.0,M,1,3,0,1,1,,623.8,594.9,610.9,501.4,720.0,2811,E,610.2
620573,5670089,Sertãozinho,20.0,M,3,1,3,1,0,,547.0,576.1,553.7,577.2,620.0,3748,A,574.8
636281,5864096,Sorocaba,17.0,F,1,2,0,2,0,2.0,489.6,544.6,521.9,542.0,440.0,937,A,507.62
666047,6276307,São Paulo,18.0,M,1,2,0,2,0,2.0,468.5,430.2,493.1,449.5,460.0,3748,B,460.26000000000005
467965,3977864,Itaquaquecetuba,17.0,F,3,2,0,2,0,2.0,459.6,452.4,387.8,365.9,460.0,937,A,425.14
308956,2623779,Santo Antônio de Posse,21.0,M,3,1,3,1,0,,586.2,595.3,559.5,551.7,480.0,4685,A,554.54
618693,5645315,São Paulo,19.0,F,1,1,2,1,0,,413.7,469.4,507.0,376.6,500.0,1874,A,453.34
475971,4046319,São Paulo,17.0,F,1,3,0,1,1,,635.8,652.9,650.5,777.5,480.0,18740,D,639.3399999999999
543663,4768622,Marília,17.0,M,0,2,0,2,0,2.0,425.8,482.6,482.1,538.3,560.0,5622,A,497.76000000000005
345623,2916973,Castilho,17.0,F,3,2,0,2,0,2.0,408.7,363.2,452.0,473.7,500.0,1405,A,439.5200000000001
490758,4220490,Joanópolis,17.0,F,1,2,0,2,0,2.0,489.5,483.1,553.3,680.8,560.0,1874,A,553.3399999999999
595064,5328449,Guarulhos,26.0,F,1,1,9,1,0,,547.3,567.3,498.3,565.7,460.0,1405,A,527.72
621746,5684521,São Paulo,28.0,M,3,1,11,1,0,,518.0,520.0,504.4,518.9,600.0,1405,A,532.26
576527,5131339,Votorantim,20.0,F,3,1,2,1,0,,490.0,535.8,576.3,410.0,540.0,1874,A,510.41999999999996
164906,1339657,Guarulhos,18.0,M,1,2,0,3,0,4.0,618.1,708.3,633.8,817.4,780.0,7496,D,711.52
270227,2268693,Palmital,17.0,M,1,2,0,3,0,4.0,522.5,482.1,528.0,647.3,680.0,9370,D,571.9799999999999
671865,6361332,São Paulo,35.0,F,3,1,11,1,0,,553.5,571.2,528.5,422.1,420.0,937,A,499.06000000000006
147146,1201521,São Paulo,18.0,M,1,2,0,3,0,4.0,615.1,614.2,559.7,697.6,600.0,20000,D,617.32
333711,2828159,Araraquara,16.0,F,1,3,0,1,1,,527.5,568.9,538.1,559.8,580.0,2342,A,554.86
67601,525064,São Paulo,25.0,F,1,1,8,1,0,,578.2,587.0,591.4,510.1,480.0,1405,A,549.3399999999999
360061,3008490,São Paulo,16.0,F,1,3,0,1,1,,414.2,607.7,585.9,406.5,560.0,20000,D,514.86
543023,4760674,São Paulo,37.0,M,3,1,11,1,0,,468.0,397.1,473.2,390.9,460.0,3748,A,437.84
50315,399987,Guarulhos,18.0,F,1,2,0,2,0,2.0,469.7,476.0,489.1,506.6,440.0,1405,A,476.28000000000003
